Name	Make	Model	Qty
AVN-AIO8R	Sonifex	AVN-AIO8R	1
DA 1	Ross Video	SRA-8901-4	1
DA 2	Ross Video	SRA-8901-4	1
DA 3	Ross Video	SRA-8901-4	1
FIDO TX	AJA	FiDO-2T-12G	1
HA5 1	AJA	OG-HA5-12G	1
HA5 2	AJA	OG-HA5-12G	1
HA5 3	AJA	OG-HA5-12G	1
MIF4 1	Rosendahl	MIF 4	1
MIF4 2	Rosendahl	MIF 4	1
MIF4 3	Rosendahl	MIF 4	1
MV 1	Cobalt Digital	9971-MV6-4H-4K	1
RTR 1	Lightware	MX2-16x16-HDMI20-R	1
SPG 1	Ross Video	SPG8260-R2	1
SR112	Brainstorm	SR-112	1
SRV ACT	disguise	GX3	1
SRV DIR	disguise	GX3	1
SRV UND	disguise	GX3	1
SW01	Netgear	M4350-24X4V (XSM4328CV)	1
SW02	Netgear	M4350-24X4V (XSM4328CV)	1
SX40 1	Brompton	Tessera SX40	1
SX40 2	Brompton	Tessera SX40	1
SX40 3	Brompton	Tessera SX40	1
TR12D	Glensound	TR-12 (TR12D Dante option)	1
XD 1	Brompton	Tessera XD	1
XD 2	Brompton	Tessera XD	1
