Circuit	Src Device	Src Socket	Dst Device	Dst Socket	Signal	Cable
10	DA 1	12G-SDI_OUT 1	SRV DIR	12G-SDI_IN A	12GV	BNC
20	DA 1	12G-SDI_OUT 2	SRV ACT	12G-SDI_IN A	12GV	BNC
30	DA 1	12G-SDI_OUT 3	SRV UND	12G-SDI_IN A	12GV	BNC
40	DA 2	12G-SDI_OUT 1	SRV DIR	12G-SDI_IN E	12GV	BNC
50	DA 2	12G-SDI_OUT 2	SRV ACT	12G-SDI_IN E	12GV	BNC
60	DA 2	12G-SDI_OUT 3	SRV UND	12G-SDI_IN E	12GV	BNC
70	DA 3	12G-SDI_OUT 1	SRV DIR	12G-SDI_IN I	12GV	BNC
80	DA 3	12G-SDI_OUT 2	SRV ACT	12G-SDI_IN I	12GV	BNC
90	DA 3	12G-SDI_OUT 3	SRV UND	12G-SDI_IN I	12GV	BNC
100	SRV DIR	VFC Slot 1	RTR 1	HDMI_2.0 1	HDMI	HDMI
110	SRV DIR	VFC Slot 2	RTR 1	HDMI_2.0 2	HDMI	HDMI
120	SRV DIR	VFC Slot 3	RTR 1	HDMI_2.0 3	HDMI	HDMI
130	SRV ACT	VFC Slot 1	RTR 1	HDMI_2.0 4	HDMI	HDMI
140	SRV ACT	VFC Slot 2	RTR 1	HDMI_2.0 5	HDMI	HDMI
150	SRV ACT	VFC Slot 3	RTR 1	HDMI_2.0 6	HDMI	HDMI
160	SRV UND	VFC Slot 1	RTR 1	HDMI_2.0 7	HDMI	HDMI
170	SRV UND	VFC Slot 2	RTR 1	HDMI_2.0 8	HDMI	HDMI
180	SRV UND	VFC Slot 3	RTR 1	HDMI_2.0 9	HDMI	HDMI
190	RTR 1	HDMI_2.0 1	SX40 1	HDMI2.0_IN	HDMI	HDMI
200	RTR 1	HDMI_2.0 2	SX40 2	HDMI2.0_IN	HDMI	HDMI
210	RTR 1	HDMI_2.0 3	SX40 3	HDMI2.0_IN	HDMI	HDMI
220	RTR 1	HDMI_2.0 13	MV 1	HDMI2.0_IN 1	HDMI	HDMI
230	RTR 1	HDMI_2.0 14	MV 1	HDMI2.0_IN 2	HDMI	HDMI
240	RTR 1	HDMI_2.0 15	MV 1	HDMI2.0_IN 3	HDMI	HDMI
250	RTR 1	HDMI_2.0 16	MV 1	HDMI2.0_IN 4	HDMI	HDMI
260	MV 1	HDMI2.0_OUT 1	RTR 1	HDMI_2.0 15	HDMI	HDMI
270	MV 1	HDMI2.0_OUT 2	RTR 1	HDMI_2.0 16	HDMI	HDMI
280	TR12D	LTC_OUT 1	SR112	LTC_IN	LTC	XLR3M
290	SR112	LTC_OUT 1	MIF4 1	LTC_IN	LTC	XLR3M
300	SR112	LTC_OUT 2	MIF4 2	LTC_IN	LTC	XLR3M
310	SR112	LTC_OUT 3	MIF4 3	LTC_IN	LTC	XLR3M
320	MIF4 1	USB2_IO	SRV DIR	USB 1	USB	USB
330	MIF4 2	USB2_IO	SRV ACT	USB 1	USB	USB
340	MIF4 3	USB2_IO	SRV UND	USB 1	USB	USB
350	AVN-AIO8R	LINE_OUT 1	SRV DIR	LINE_IN L	LINE	XLR3M
360	AVN-AIO8R	LINE_OUT 2	SRV DIR	LINE_IN R	LINE	XLR3M
370	AVN-AIO8R	LINE_OUT 3	SRV ACT	LINE_IN L	LINE	XLR3M
380	AVN-AIO8R	LINE_OUT 4	SRV ACT	LINE_IN R	LINE	XLR3M
390	AVN-AIO8R	LINE_OUT 5	SRV UND	LINE_IN L	LINE	XLR3M
400	AVN-AIO8R	LINE_OUT 6	SRV UND	LINE_IN R	LINE	XLR3M
410	SPG 1	REF1_OUT A	SRV DIR	REF_IN	REF	BNC
420	SPG 1	REF1_OUT B	SRV ACT	REF_IN	REF	BNC
430	SPG 1	REF2_OUT A	SRV UND	REF_IN	REF	BNC
440	SPG 1	REF3_OUT A	SX40 1	REF_IN	REF	BNC
450	SPG 1	REF3_OUT B	SX40 2	REF_IN	REF	BNC
460	SPG 1	REF4_OUT A	SX40 3	REF_IN	REF	BNC
470	RTR 1	HDMI_2.0 10	HA5 1	HDMI2.0_IN	HDMI	HDMI
480	HA5 1	12G-SDI_OUT 1	FIDO TX	12G-SDI_IN 1	12GV	BNC
490	MV 1	12G-SDI_OUT 1	FIDO TX	12G-SDI_IN 2	12GV	BNC
500	SW01	SFP28 1	SW02	SFP28 1	OPT	LCDUP
510	SW01	SFP28 2	SW02	SFP28 2	OPT	LCDUP
520	AVN-AIO8R	DANTE PRI	SW01	LAN 1	DANTE	RJ45
530	TR12D	DANTE	SW01	LAN 2	DANTE	RJ45
540	SRV DIR	LAN A	SW01	LAN 3	LAN	RJ45
550	SRV ACT	LAN A	SW01	LAN 4	LAN	RJ45
560	SRV UND	LAN A	SW01	LAN 5	LAN	RJ45
570	SX40 1	10G_OUT 1 Fib	XD 1	10G_IN Fib	LAN	LCDUP
580	SX40 2	10G_OUT 1 Fib	XD 2	10G_IN Fib	LAN	LCDUP
