CABLE,SIGNAL,FROM DEVICE,FROM MAKE/MODEL,FROM SOCKET,TO DEVICE,TO MAKE/MODEL,TO SOCKET,CABLE TYPE
001,12G-SDI,12G TX/RX_3,Ross Video SFC-6901,12G-SDI 01,<SDI MATRIX>,AJA KUMO 6464,HDV_IN 10,---
002,12G-SDI,12G TX/RX_3,Ross Video SFC-6901,12G-SDI 02,<SDI MATRIX>,AJA KUMO 6464,HDV_IN 11,---
003,12G-SDI,12G TX/RX_3,Ross Video SFC-6901,12G-SDI 03,<SDI MATRIX>,AJA KUMO 6464,HDV_IN 12,---
004,12G-SDI,12G TX/RX_3,Ross Video SFC-6901,12G-SDI 04,<SDI MATRIX>,AJA KUMO 6464,HDV_IN 13,---
005,12G-SDI,4K MTX CONVERTER,AJA HA5-12G,3gSDI_OUT 01,<SDI MATRIX>,AJA KUMO 6464,HDV_IN 24,---
006,12G-SDI,<GUI/SHOW MV>,Cobalt Digital 9971-MV6-4K,12G-SDI_OUT 01,<SDI MATRIX>,AJA KUMO 6464,HDV_IN 19,---
007,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 01,OG DA - 01,,OG DA - 01,---
008,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 05,OG DA - 05,,OG DA - 05,---
009,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 09,OG DA - 09,,OG DA - 09,---
010,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 10,12G TX/RX_4,Ross Video SFC-6901,12G-SDI 01,---
011,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 11,12G TX/RX_4,Ross Video SFC-6901,12G-SDI 02,---
012,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 12,12G TX/RX_4,Ross Video SFC-6901,12G-SDI 03,---
013,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 13,12G TX/RX_4,Ross Video SFC-6901,12G-SDI 04,---
014,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 14,COBALT MV 01,,COBALT MV 01,---
015,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 15,COBALT MV 02,,COBALT MV 02,---
016,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 16,COBALT MV 03,,COBALT MV 03,---
017,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 17,COBALT MV 04,,COBALT MV 04,---
018,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 18,COBALT MV 05,,COBALT MV 05,---
019,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 19,COBALT MV 06,,COBALT MV 06,---
020,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 20,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 01,---
021,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 21,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 02,---
022,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 22,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 03,---
023,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 23,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 04,---
024,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 24,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 05,---
025,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 25,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 06,---
026,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 26,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 07,---
027,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 27,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 08,---
028,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 28,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 09,---
029,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 29,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 10,---
030,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 30,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 11,---
031,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 31,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 12,---
032,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 32,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 13,---
033,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 33,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 14,---
034,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 34,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 15,---
035,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 35,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 16,---
036,12G-SDI,<SDI MATRIX>,AJA KUMO 6464,HDV_OUT 36,<SHOW MV 2>,Cobalt Digital 9971-MV6-4K,12G-SDI_IN 17,---
