DEVICE,MAKE,MODEL,SOCKETS,PATCHED,SPARE,UTILISATION
<SDI MATRIX>,AJA,KUMO 6464,268,63,205,24%
<HDMI MATRIX>,Lightware,MX233X33,136,52,84,38%
<SHOW MV 2>,Cobalt Digital,9971-MV6-4K,50,19,31,38%
ACT-1,disguise,GX3 - VFC _HDMI,62,15,47,24%
ACT-2,disguise,GX3 - VFC _HDMI,62,15,47,24%
ACT-3,disguise,GX3 - VFC _HDMI,62,15,47,24%
UND-1,disguise,GX3 - VFC _HDMI,62,15,47,24%
UND-2,disguise,GX3 - VFC _HDMI,62,15,47,24%
UND- 3,disguise,GX3 - VFC _HDMI,62,15,47,24%
DIR,disguise,GX3 - VFC _HDMI,62,12,50,19%
<GUI/SHOW MV>,Cobalt Digital,9971-MV6-4K,40,12,28,30%
<ANALOG TC IN>,Brainstorm,SR-112,24,8,16,33%
<DANTE TC IN>,Brainstorm,SR-112,24,8,16,33%
MV - 5,Avitech,Sequoia4k60,36,6,30,17%
12G TX/RX_3,Ross Video,SFC-6901,12,6,6,50%
12G TX/RX_4,Ross Video,SFC-6901,12,6,6,50%
MV - 1,Avitech,Sequoia4k60,36,5,31,14%
MV - 2,Avitech,Sequoia4k60,36,5,31,14%
MV - 3,Avitech,Sequoia4k60,36,5,31,14%
MV - 4,Avitech,Sequoia4k60,36,5,31,14%
<DEMUX>,Barco,Imagepro HD,26,5,21,19%
UDC-4K 1,AJA,UDC-4K,16,3,13,19%
UDC-4K 2,AJA,UDC-4K,16,3,13,19%
UDC-4K 4,AJA,UDC-4K,16,3,13,19%
4K MTX CONVERTER,AJA,HA5-12G,8,2,6,25%
12G TX/RX_1,Ross Video,SFC-6901,12,2,10,17%
12G TX/RX_2,Ross Video,SFC-6901,12,2,10,17%
UDC-4K 3,AJA,UDC-4K,16,2,14,12%
SR DS FACE,Brompton,Tessera SX40,48,1,47,2%
SR RETURNS,Brompton,Tessera SX40,48,1,47,2%
SL DS FACE,Brompton,Tessera SX40,48,1,47,2%
SL RETURNS,Brompton,Tessera SX40,48,1,47,2%
SPARE,Brompton,Tessera SX40,48,1,47,2%
US,Brompton,Tessera SX40,48,1,47,2%
SR,Brompton,Tessera SX40,48,1,47,2%
SL,Brompton,Tessera SX40,48,1,47,2%
<RACK SCALER>,Barco,Imagepro HD,26,1,25,4%
<DIR KVM>,Adder,ALIF4000T,14,1,13,7%
<ACT_1 - KVM>,Adder,ALIF4000T,14,1,13,7%
<ACT_2- KVM>,Adder,ALIF4000T,14,1,13,7%
<ACT_3 - KVM>,Adder,ALIF4000T,14,1,13,7%
<UND_1 - KVM>,Adder,ALIF4000T,14,1,13,7%
<UND_2- KVM>,Adder,ALIF4000T,14,1,13,7%
<UND_3- KVM>,Adder,ALIF4000T,14,1,13,7%
DANTE TC IN,Glensound,TR12D,12,1,11,8%
<FOH KVM 1>,Adder,ALIF4000T,14,0,14,0%
<FOH KVM 2>,Adder,ALIF4000T,14,0,14,0%
<DANTE AUDIO>,Sonifex,AIO8R,34,0,34,0%
